icfes_puesto,cutoff,ingresa_u3
-567,-850,0.91666669
-566,-850,0.76923078
-565,-850,0.875
-565,-571,1
-564,-850,0.80000001
-563,-850,0.5
-563,-571,1
-562,-850,0.77777779
-562,-571,1
-561,-850,0.80000001
-560,-850,0.75
-559,-850,0.625
-558,-850,0.71428573
-557,-850,0.60000002
-556,-850,0.72727275
-555,-850,0.90909094
-555,-571,0
-554,-850,0.75
-554,-571,0
-553,-850,0.89999998
-553,-571,1
-552,-850,0.8888889
-552,-571,1
-551,-850,0.73333335
-550,-850,0.89999998
-549,-850,0.875
-549,-571,1
-548,-850,1
-548,-571,1
-547,-850,0.89999998
-546,-850,0.63636363
-545,-850,0.66666669
-545,-571,1
-544,-850,0.66666669
-543,-850,0.8125
-542,-850,0.63636363
-541,-850,0.875
-540,-850,0.66666669
-539,-850,0.66666669
-538,-850,0.72222221
-538,-571,0
-537,-850,0.64285713
-536,-850,0.80000001
-536,-571,1
-535,-850,1
-534,-850,0.84615386
-534,-571,0.5
-533,-850,0.90909094
-533,-571,1
-532,-850,0.55555558
-531,-850,0.91666669
-530,-850,0.5714286
-529,-850,0.58333331
-529,-571,1
-528,-850,0.77777779
-527,-850,0.61538464
-527,-571,1
-526,-850,0.94444442
-526,-571,1
-525,-850,0.85714287
-525,-571,1
-524,-850,0.875
-523,-850,0.75
-522,-850,0.83333331
-522,-571,1
-521,-850,0.58333331
-521,-571,0
-520,-850,0.78571427
-520,-571,1
-519,-850,0.86666667
-519,-571,0.5
-518,-850,0.72727275
-518,-571,1
-517,-850,0.86666667
-516,-850,0.82352942
-515,-850,0.83333331
-515,-571,0
-514,-850,0.93333334
-514,-571,1
-513,-850,0.44444445
-513,-571,1
-512,-850,0.83333331
-511,-850,0.76923078
-510,-850,0.85714287
-510,-571,1
-509,-850,0.80000001
-508,-850,0.55555558
-508,-571,1
-507,-850,0.86666667
-506,-850,0.69230771
-506,-571,1
-505,-850,0.75
-504,-850,0.71428573
-503,-850,0.80000001
-502,-850,0.75
-502,-571,1
-501,-850,0.69999999
-501,-571,1
-500,-850,0.66666669
-499,-850,0.80000001
-498,-850,0.89473683
-498,-571,1
-497,-850,0.92307693
-497,-571,1
-496,-850,0.75
-495,-850,0.91666669
-495,-571,1
-494,-850,0.8888889
-493,-850,0.91666669
-492,-850,0.84615386
-492,-571,1
-491,-850,0.91666669
-490,-850,0.86666667
-489,-850,0.92307693
-489,-571,0.5
-488,-850,0.88235295
-488,-571,0
-487,-850,0.66666669
-487,-571,1
-486,-850,0.5
-486,-571,0.5
-485,-850,0.68421054
-485,-571,1
-484,-850,0.84210527
-483,-850,0.80000001
-482,-850,0.5
-482,-571,1
-481,-850,1
-481,-571,1
-480,-850,0.80000001
-479,-850,0.875
-479,-571,1
-478,-850,0.70588237
-478,-571,1
-477,-850,0.78571427
-477,-571,1
-476,-850,0.875
-476,-571,1
-475,-850,0.9285714
-475,-571,0.5
-474,-850,0.93333334
-474,-571,0.5
-473,-850,0.84615386
-472,-850,0.8888889
-471,-850,0.75
-471,-571,1
-470,-850,0.75
-470,-571,0.5
-469,-850,0.75
-468,-850,0.875
-468,-571,1
-467,-850,0.83333331
-467,-571,0
-466,-850,0.85000002
-466,-571,1
-465,-850,0.82352942
-465,-571,1
-464,-850,0.8888889
-464,-571,0
-463,-850,0.85714287
-462,-850,0.73333335
-462,-571,1
-461,-850,0.73333335
-461,-571,1
-460,-850,0.70588237
-459,-850,0.8125
-459,-571,1
-458,-850,0.88235295
-458,-571,1
-457,-850,0.85714287
-457,-571,1
-456,-850,0.94444442
-455,-850,0.75
-454,-850,0.69999999
-454,-571,1
-453,-850,0.83333331
-453,-571,1
-452,-850,0.80000001
-451,-850,0.90909094
-451,-571,1
-450,-850,0.9285714
-449,-850,0.69999999
-449,-571,1
-448,-850,0.9285714
-447,-850,0.61538464
-447,-571,1
-446,-850,0.88235295
-446,-571,0.75
-445,-850,0.80952382
-445,-571,1
-444,-850,0.85714287
-444,-571,1
-443,-850,0.66666669
-442,-850,0.77777779
-442,-571,1
-441,-850,0.85714287
